,D,P,C,O,F,G
2229,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,uncultured
2230,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Candidatus Protistobacter,
2231,Bacteria,Firmicutes,Desulfotomaculia,Desulfotomaculales,Desulfotomaculales Incertae Sedis,Desulfallas-Sporotomaculum
2232,Archaea,Halobacterota,ANME-1,ANME-1b,,
2233,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,uncultured,
2234,Bacteria,Myxococcota,Polyangia,Nannocystales,Nannocystaceae,
2235,Bacteria,Proteobacteria,Gammaproteobacteria,CCM19a,,
2236,Bacteria,Patescibacteria,ABY1,Candidatus Magasanikbacteria,,
2237,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Nocardiopsaceae,Marinactinospora
2238,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Limnolyngbya CHAB4449
2239,Bacteria,Cyanobacteria,Cyanobacteriia,Synechococcales,Synechococcales Incertae Sedis,Schizothrix LEGE 07164
2240,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,,
2241,Bacteria,Proteobacteria,Gammaproteobacteria,Methylococcales,Methylomonadaceae,Methylovulum
2242,Bacteria,Spirochaetota,Spirochaetia,Spirochaetales,Spirochaetaceae,Sediminispirochaeta
2243,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia-Caballeronia-Paraburkholderia
2244,Bacteria,Planctomycetota,Planctomycetes,Pirellulales,Pirellulaceae,Thermostilla
2245,Bacteria,Actinobacteriota,Actinobacteria,Streptosporangiales,Streptosporangiaceae,Microtetraspora
2246,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Citreicella
2247,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Morganellaceae,Candidatus Curculioniphilus
2248,Bacteria,Actinobacteriota,Actinobacteria,Actinomycetales,Actinomycetaceae,
2249,Bacteria,Firmicutes,Negativicutes,Veillonellales-Selenomonadales,Sporomusaceae,uncultured
2250,Bacteria,Patescibacteria,Parcubacteria,Candidatus Yanofskybacteria,,
2251,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Pseudorhodobacter
2252,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Blattabacteriaceae,Candidatus Sulcia
2253,Bacteria,Thermosulfidibacterota,Thermosulfidibacteria,Thermosulfidibacterales,Thermosulfidibacteraceae,Thermosulfidibacter
2254,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium
2255,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Oxalobacteraceae,Glaciimonas
2256,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Xanthomarina
2257,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,Z195MB87
2258,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,uncultured
2259,Bacteria,Actinobacteriota,Coriobacteriia,Coriobacteriales,uncultured,
2260,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosarcinaceae,Methanomethylovorans
2261,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,uncultured,
2262,Bacteria,Caldisericota,Caldisericia,Caldisericales,TTA-B1,
2263,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Acidithrix
2264,Bacteria,Firmicutes,Clostridia,Eubacteriales,Eubacteriaceae,Pseudoramibacter
2265,Bacteria,Halanaerobiaeota,Halanaerobiia,Halanaerobiales,Halanaerobiaceae,Halocella
2266,Bacteria,Actinobacteriota,Actinobacteria,Frankiales,Sporichthyaceae,uncultured
2267,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Orbaceae,Gilliamella
2268,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aliiroseovarius
2269,Bacteria,Thermodesulfobiota,Thermodesulfobiia,Thermodesulfobiales,Thermodesulfobiaceae,Thermodesulfobium
2270,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cyclobacteriaceae,Marivirga
2271,Bacteria,Aquificota,Aquificae,Aquificales,Aquificaceae,Aquifex
2272,Bacteria,Proteobacteria,Gammaproteobacteria,Arenicellales,Arenicellaceae,uncultured
2273,Bacteria,Firmicutes,Bacilli,Bacillales,Planococcaceae,Kurthia
2274,Bacteria,Chrysiogenetota,Chrysiogenetes,Chrysiogenales,Chrysiogenaceae,Desulfurispira
2275,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Lachnospiraceae AC2044 group
2276,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Corallococcus
2277,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Cytophagaceae,Cytophaga
2278,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Promicromonosporaceae,uncultured
2279,Bacteria,Actinobacteriota,Acidimicrobiia,Actinomarinales,uncultured,
2280,Bacteria,Deinococcota,Deinococci,Deinococcales,Deinococcaceae,Deinobacterium
2281,Bacteria,Planctomycetota,Phycisphaerae,C86,,
2282,Bacteria,Desulfobacterota,Syntrophobacteria,Syntrophobacterales,Syntrophobacteraceae,Desulfovirga
2283,Bacteria,Firmicutes,Clostridia,Oscillospirales,Oscillospiraceae,
2284,Archaea,Halobacterota,Halobacteria,Halobacterales,Haloferacaceae,Halorussus
2285,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,211ds20,
2286,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,
2287,Bacteria,Planctomycetota,Phycisphaerae,Amsterdam-1B-07,,
2288,Bacteria,Firmicutes,Thermovenabulia,Thermovenabulales,Fervidicola,
2289,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Hydrogenophilaceae,Hydrogenophilus
2290,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Microbulbiferaceae,Microbulbifer
2291,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Planktomarina
2292,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium sensu stricto 3
2293,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Desulfurococcaceae,Thermosphaera
2294,Bacteria,Firmicutes,Incertae Sedis,Gelria,,
2295,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Heliimonas
2296,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Fokiniaceae,Candidatus Defluviella
2297,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermacoccaceae,Kytococcus
2298,Bacteria,Actinobacteriota,Acidimicrobiia,Acidimicrobiales,Acidimicrobiaceae,Ferrithrix
2299,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Segniliparaceae,uncultured
2300,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,A2
2301,Bacteria,Firmicutes,Clostridia,Lachnospirales,Lachnospiraceae,Abyssivirga
2302,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Ornithinibacter
2303,Archaea,Halobacterota,Halobacteria,Halobacterales,Haloferacaceae,Halovenus
2304,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,uncultured,
2305,Bacteria,Myxococcota,Myxococcia,Myxococcales,Myxococcaceae,Stigmatella
2306,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Williamwhitmaniaceae,Acetobacteroides
2307,Bacteria,Proteobacteria,Gammaproteobacteria,UBA4486,,
2308,Bacteria,Verrucomicrobiota,Chlamydiae,Chlamydiales,Simkaniaceae,
2309,Bacteria,Firmicutes,Bacilli,,,
2310,Bacteria,Actinobacteriota,Actinobacteria,Nitriliruptorales,Nitriliruptoraceae,YC-ZSS-LKJ90
2311,Bacteria,Cyanobacteria,Cyanobacteriia,Leptolyngbyales,Leptolyngbyaceae,Phormidium CYN64
2312,Bacteria,Bacteroidota,Rhodothermia,Balneolales,Balneolaceae,CK06-06-Mud-MAS4B-21
2313,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Beutenbergiaceae,Miniimonas
2314,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Nguyenibacter
2315,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Tibeticola
2316,Bacteria,Planctomycetota,Phycisphaerae,Tepidisphaerales,Tepidisphaeraceae,Tepidisphaera
2317,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Devosiaceae,Arsenicitalea
2318,Archaea,Crenarchaeota,Thermoprotei,Desulfurococcales,Ignisphaeraceae,
2319,Bacteria,Bacteroidota,Bacteroidia,Flavobacteriales,Flavobacteriaceae,Hyunsoonleella
2320,Bacteria,Firmicutes,Clostridia,Lachnospirales,uncultured,
2321,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Aestuariibius
2322,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Dermabacteraceae,Devriesea
2323,Bacteria,Dependentiae,Babeliae,Babeliales,,
2324,Bacteria,Myxococcota,Polyangia,FFCH16767,,
2325,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Xenococcaceae,Foliisarcina
2326,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Segniliparaceae,Segniliparus
2327,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,D05-2,
2328,Bacteria,Actinobacteriota,Actinobacteria,Micromonosporales,Micromonosporaceae,Wangella
2329,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Mycobacteriaceae,Mycobacterium
2330,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Coleofasciculaceae,uncultured
2331,Bacteria,Proteobacteria,Gammaproteobacteria,JG36-TzT-191,,
2332,Bacteria,WPS-2,,,,
2333,Bacteria,Spirochaetota,Brevinematia,Brevinematales,Brevinemataceae,Brevinema
2334,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacterales,Enterobacterales Incertae Sedis,Alkalimonas
2335,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Cellulomonadaceae,Sediminihabitans
2336,Bacteria,Patescibacteria,ABY1,Candidatus Jacksonbacteria,,
2337,Bacteria,Planctomycetota,Pla4 lineage,,,
2338,Bacteria,Proteobacteria,Gammaproteobacteria,Beggiatoales,Beggiatoaceae,Candidatus Marithioploca
2339,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Alysiella
2340,Bacteria,Patescibacteria,Microgenomatia,Candidatus Curtissbacteria,,
2341,Bacteria,Cyanobacteria,Cyanobacteriia,Cyanobacteriales,Phormidiaceae,Tychonema CCAP 1459-11B
2342,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter
2343,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Aquaspirillaceae,Laribacter
2344,Bacteria,Patescibacteria,Gracilibacteria,Candidatus Peregrinibacteria,,
2345,Bacteria,Cyanobacteria,Cyanobacteriia,Gloeobacterales,Gloeobacteraceae,Gloeobacter PCC-7421
2346,Bacteria,Patescibacteria,Berkelbacteria,,,
2347,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Neisseriaceae,Neisseria
2348,Bacteria,Firmicutes,Desulfotomaculia,Desulfotomaculales,Desulfotomaculaceae,Desulfohalotomaculum
2349,Bacteria,WS1,,,,
2350,Archaea,Crenarchaeota,Nitrososphaeria,Nitrosotaleales,Nitrosotaleaceae,
2351,Bacteria,Proteobacteria,Alphaproteobacteria,Acetobacterales,Acetobacteraceae,Bombella
2352,Bacteria,Planctomycetota,Planctomycetes,Planctomycetales,Rubinisphaeraceae,Rubinisphaera
2353,Bacteria,Desulfobacterota,Desulfuromonadia,Desulfuromonadales,Geopsychrobacteraceae,Geopsychrobacter
2354,Bacteria,Desulfobacterota,Desulfobacteria,Desulfobacterales,Desulfolunaceae,Desulfoluna
2355,Bacteria,Aquificota,Desulfurobacteriia,Desulfurobacteriales,Desulfurobacteriaceae,Balnearium
2356,Bacteria,PAUC34f,,,,
2357,Bacteria,Planctomycetota,Phycisphaerae,CCM11a,,
2358,Bacteria,Proteobacteria,Gammaproteobacteria,Ectothiorhodospirales,Ectothiorhodospiraceae,Thioalkalivibrio
2359,Bacteria,Verrucomicrobiota,Verrucomicrobiae,Chthoniobacterales,01D2Z36,
2360,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Litorisediminivivens
2361,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Aurantisolimonas
2362,Bacteria,Campylobacterota,Campylobacteria,Campylobacterales,Helicobacteraceae,uncultured
